Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_total_num_active_rels,A_num_active_TRANSITORY_rels,A_num_active_INFORMAL_rels,A_num_active_MARITAL_rels,A_num_active_COMMERCIAL_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_total_num_active_rels,B_num_active_TRANSITORY_rels,B_num_active_INFORMAL_rels,B_num_active_MARITAL_rels,B_num_active_COMMERCIAL_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader
90200,13552,13891.4,0,1,1,14631,0,0,21.8822,2,2,0,0,0,8,1,1,0,0,0,13717,0,1,23.9534,1,1,0,0,0,7,1,0,0,0,0
90201,13552,14075.4,0,1,1,13867,0,0,23.6274,2,1,1,0,0,10,2,1,0,0,0,17764,0,1,15.0548,1,1,0,0,0,1,1,0,0,0,0
90202,13552,13839.5,0,1,1,14574,0,0,21.9973,2,2,0,0,0,8,2,1,0,0,0,15684,0,1,19.4658,1,1,0,0,0,6,1,1,0,0,0
90203,13552,14104.5,0,1,1,14617,0,0,21.9014,1,1,0,0,0,2,1,0,0,0,0,16176,0,1,18.4301,1,1,0,0,0,4,1,0,0,0,0
90204,13552,13850.6,0,1,1,14797,0,0,21.4795,2,2,0,0,0,6,2,7,0,0,0,16898,0,1,16.9342,2,2,0,0,0,3,3,5,0,0,0
90205,13552,13920.7,0,1,1,15088,0,0,20.8274,2,2,0,0,0,3,1,5,0,0,0,16634,0,1,17.4904,1,1,0,0,0,4,1,0,0,0,0
90206,13552,13741.3,0,1,1,15107,0,0,20.789,3,2,1,0,0,19,3,3,0,0,0,14166,0,1,22.937,2,1,1,0,0,17,2,3,0,0,0
90207,13552,13783.9,0,1,1,15300,0,0,20.3288,3,3,0,0,0,6,3,7,0,0,0,13954,0,1,23.4356,1,1,0,0,0,13,1,1,0,0,0
90208,13552,13669.8,0,1,1,15247,0,0,20.4438,1,1,0,0,0,2,1,0,0,0,0,14166,0,1,22.937,3,2,1,0,0,18,3,3,0,0,0
90209,13552,13581.6,0,1,1,15612,0,0,19.6192,1,1,0,0,0,1,1,0,0,0,0,14816,0,1,21.4411,2,2,0,0,0,9,2,1,0,0,0
90210,13552,14018.9,0,1,1,16031,0,0,18.7562,2,2,0,0,0,4,1,5,0,0,0,14781,0,1,21.4986,3,2,1,0,0,13,1,3,0,0,0
90211,13552,13958.3,0,1,1,16650,0,0,17.4521,2,2,0,0,0,2,2,1,0,0,0,13334,0,1,24.8356,1,1,0,0,0,10,2,4,0,0,0
90212,13552,13849.6,0,1,1,16832,0,0,17.0493,2,2,0,0,0,5,2,1,0,0,0,15716,0,1,19.4082,4,2,2,0,0,10,2,7,0,0,0
90213,13552,14064,0,1,1,13955,0,0,23.4356,1,1,0,0,0,4,1,0,0,0,0,11800,0,1,28.6712,3,1,2,0,0,31,1,3,0,0,0
90214,13552,14667.5,0,1,1,15224,0,0,20.5014,5,4,1,0,0,8,3,7,0,0,0,14764,0,1,21.537,1,1,0,0,0,5,1,0,0,0,0
90215,13552,14121.6,0,1,1,16734,0,0,17.2795,2,2,0,0,0,9,1,3,0,0,0,12675,0,1,26.4274,2,2,0,0,0,12,1,1,0,0,0
90216,13552,13879,0,1,1,15970,0,0,18.8904,2,2,0,0,0,7,1,7,0,0,0,15342,0,1,20.2137,1,1,0,0,0,7,1,1,0,0,0
90217,13552,13576.3,0,1,1,12761,0,0,26.2356,2,2,0,0,0,10,2,1,0,0,0,15530,0,1,19.7918,4,2,2,0,0,8,1,3,0,0,0
90218,13552,14146.9,0,1,1,16211,0,0,18.3534,1,1,0,0,0,2,1,0,0,0,0,15477,0,1,19.926,1,1,0,0,0,5,1,4,0,0,0
90219,13552,13556.9,0,1,1,10119,0,0,33.1397,1,1,0,0,0,9,1,0,0,0,0,11111,0,1,30.4548,2,2,0,0,0,24,1,1,0,0,0
90220,13552,13604.3,0,1,1,10199,0,0,32.8904,3,1,2,0,0,21,2,3,0,0,0,12813,0,1,26.1014,3,2,1,0,0,27,2,3,0,0,0
90221,13552,13590.8,0,1,1,11535,0,0,29.3425,1,1,0,0,0,9,1,0,0,0,0,9627,0,1,34.5014,1,1,0,0,0,18,1,1,0,0,0
