Time, IndividualID, AgeYears, Gender, From_NodeID, To_NodeID, MigrationType, Event,IsInfected, Rel_ID, NumCoitalActs, IsDiscordant, HasMigrated, RelationshipType, RelationshipState, PartnerID, Male_NodeID, Female_NodeID
6669,64,33.1373,F,3,2,local,STIPreEmigrating,0,145,96,0,1,INFORMAL,PAUSED,39,0,3
6669,64,33.1373,F,2,0,N/A,STIPostImmigrating,0,145,96,0,1,INFORMAL,PAUSED,39,0,2
6670,23,42.6886,F,1,2,local,STIPreEmigrating,0,168,4,0,1,INFORMAL,PAUSED,55,0,1
6670,23,42.6886,F,2,0,N/A,STIPostImmigrating,0,168,4,0,1,INFORMAL,PAUSED,55,0,2
6672,68,51.3913,M,2,3,local,STIPreEmigrating,0,176,3,0,0,INFORMAL,PAUSED,31,2,2
6672,60,32.2381,F,2,3,local,STIPreEmigrating,0,156,78,0,1,INFORMAL,PAUSED,59,0,2
6672,70,17.5288,F,1,3,local,STIPreEmigrating,0,175,14,0,1,INFORMAL,PAUSED,76,0,1
6672,70,17.5288,F,3,0,N/A,STIPostImmigrating,0,175,14,0,1,INFORMAL,PAUSED,76,0,3
6672,60,32.2381,F,3,0,N/A,STIPostImmigrating,0,156,78,0,1,INFORMAL,PAUSED,59,0,3
6672,68,51.3913,M,3,0,N/A,STIPostImmigrating,0,176,3,0,1,INFORMAL,PAUSED,31,3,2
6675,72,17.3096,F,1,3,local,STIPreEmigrating,0,172,11,0,1,INFORMAL,PAUSED,19,1,1
6675,72,17.3096,F,3,0,N/A,STIPostImmigrating,0,172,11,0,1,INFORMAL,PAUSED,19,1,3
6678,23,42.7105,F,2,1,local,STIPreEmigrating,0,168,4,0,1,INFORMAL,PAUSED,55,0,2
6678,23,42.7105,F,1,0,N/A,STIPostImmigrating,0,168,4,0,1,INFORMAL,PAUSED,55,0,1
6679,59,37.1943,M,4,2,local,STIPreEmigrating,0,156,78,0,1,INFORMAL,PAUSED,60,4,0
6679,59,37.1943,M,2,0,N/A,STIPostImmigrating,0,156,78,0,1,INFORMAL,PAUSED,60,2,0
6680,29,48.7846,M,2,4,local,STIPreEmigrating,0,171,38,0,1,INFORMAL,PAUSED,27,2,0
6680,29,48.7846,M,4,0,N/A,STIPostImmigrating,0,171,38,0,1,INFORMAL,PAUSED,27,4,0
6681,2,18.6531,F,1,4,local,STIPreEmigrating,0,160,26,0,1,INFORMAL,PAUSED,79,0,1
6681,2,18.6531,F,4,0,N/A,STIPostImmigrating,0,160,26,0,1,INFORMAL,PAUSED,79,0,4
6682,72,17.3288,F,3,2,local,STIPreEmigrating,0,172,11,0,1,INFORMAL,PAUSED,19,0,3
6682,72,17.3288,F,2,0,N/A,STIPostImmigrating,0,172,11,0,1,INFORMAL,PAUSED,19,0,2
6687,59,37.2162,M,2,3,local,STIPreEmigrating,0,156,78,0,1,INFORMAL,PAUSED,60,2,0
6687,59,37.2162,M,3,0,N/A,STIPostImmigrating,0,156,78,0,1,INFORMAL,NORMAL,60,3,3
6690,73,18.2986,M,4,1,local,STIPreEmigrating,0,170,37,0,1,INFORMAL,PAUSED,75,4,4
6690,55,42.6839,M,4,2,local,STIPreEmigrating,0,168,4,0,1,INFORMAL,PAUSED,23,4,0
6690,52,55.4806,M,2,3,local,STIPreEmigrating,0,159,60,0,1,INFORMAL,PAUSED,37,2,0
6690,52,55.4806,M,3,0,N/A,STIPostImmigrating,0,159,60,0,1,INFORMAL,PAUSED,37,3,0
6690,55,42.6839,M,2,0,N/A,STIPostImmigrating,0,168,4,0,1,INFORMAL,PAUSED,23,2,0
6690,73,18.2986,M,1,0,N/A,STIPostImmigrating,0,170,37,0,1,INFORMAL,PAUSED,75,1,4
6691,32,31.2575,F,3,1,local,STIPreEmigrating,0,174,15,0,1,INFORMAL,PAUSED,41,0,3
6691,32,31.2575,F,1,0,N/A,STIPostImmigrating,0,174,15,0,1,INFORMAL,PAUSED,41,0,1
6692,75,16.8932,F,4,2,local,STIPreEmigrating,0,170,37,0,1,INFORMAL,PAUSED,73,0,4
6692,35,78.0478,F,2,3,local,STIPreEmigrating,0,164,14,0,1,INFORMAL,PAUSED,22,0,2
6692,35,78.0478,F,3,0,N/A,STIPostImmigrating,0,164,14,0,1,INFORMAL,NORMAL,22,3,3
6692,75,16.8932,F,2,0,N/A,STIPostImmigrating,0,170,37,0,1,INFORMAL,PAUSED,73,0,2
