Time, IndividualID, AgeYears, Gender, From_NodeID, To_NodeID, MigrationType, Event,IsInfected, Rel_ID, NumCoitalActs, IsDiscordant, HasMigrated, RelationshipType, RelationshipState, PartnerID, Male_NodeID, Female_NodeID
2827,138,21.0337,F,1,0,N/A,STIPostImmigrating,0,101,573,0,1,MARITAL,NORMAL,136,1,1
2827,136,22.969,M,2,1,local,STIPreEmigrating,0,101,573,0,1,MARITAL,MIGRATING,138,2,2
2827,138,21.0337,F,2,1,local,STIPreEmigrating,0,101,573,0,1,MARITAL,MIGRATING,136,0,2
2829,159,15.8766,M,1,2,local,STIPreEmigrating,0,114,57,0,1,MARITAL,MIGRATING,237,1,1
2829,237,17.4106,F,1,2,local,STIPreEmigrating,0,114,57,0,1,MARITAL,MIGRATING,159,0,1
2829,159,15.8766,M,2,0,N/A,STIPostImmigrating,0,114,57,0,1,MARITAL,MIGRATING,237,2,0
2829,237,17.4106,F,2,0,N/A,STIPostImmigrating,0,114,57,0,1,MARITAL,NORMAL,159,2,2
2830,102,40.8652,M,1,2,local,STIPreEmigrating,0,63,959,0,1,MARITAL,MIGRATING,50,1,1
2830,50,37.5107,F,1,2,local,STIPreEmigrating,0,63,959,0,1,MARITAL,MIGRATING,102,0,1
2830,164,24.015,F,1,0,N/A,STIPostImmigrating,0,68,869,0,1,MARITAL,MIGRATING,122,0,1
2830,233,23.8219,F,1,0,N/A,STIPostImmigrating,0,64,881,0,1,MARITAL,MIGRATING,117,0,1
2830,122,24.8633,M,1,0,N/A,STIPostImmigrating,0,68,869,0,1,MARITAL,NORMAL,164,1,1
2830,193,52.8958,F,1,0,N/A,STIPostImmigrating,0,6,893,0,1,MARITAL,MIGRATING,55,0,1
2830,117,25.5086,M,1,0,N/A,STIPostImmigrating,0,64,881,0,1,MARITAL,NORMAL,233,1,1
2830,55,48.8104,M,1,0,N/A,STIPostImmigrating,0,6,893,0,1,MARITAL,NORMAL,193,1,1
2830,164,24.015,F,2,1,local,STIPreEmigrating,0,68,869,0,1,MARITAL,MIGRATING,122,2,2
2830,233,23.8219,F,2,1,local,STIPreEmigrating,0,64,881,0,1,MARITAL,MIGRATING,117,2,2
2830,122,24.8633,M,2,1,local,STIPreEmigrating,0,68,869,0,1,MARITAL,MIGRATING,164,2,0
2830,193,52.8958,F,2,1,local,STIPreEmigrating,0,6,893,0,1,MARITAL,MIGRATING,55,2,2
2830,117,25.5086,M,2,1,local,STIPreEmigrating,0,64,881,0,1,MARITAL,MIGRATING,233,2,0
2830,55,48.8104,M,2,1,local,STIPreEmigrating,0,6,893,0,1,MARITAL,MIGRATING,193,2,0
2830,102,40.8652,M,2,0,N/A,STIPostImmigrating,0,63,959,0,1,MARITAL,MIGRATING,50,2,0
2830,50,37.5107,F,2,0,N/A,STIPostImmigrating,0,63,959,0,1,MARITAL,NORMAL,102,2,2
2831,190,34.5119,F,1,2,local,STIPreEmigrating,0,113,307,0,1,MARITAL,MIGRATING,266,1,1
2831,266,36.4394,M,1,2,local,STIPreEmigrating,0,113,307,0,1,MARITAL,MIGRATING,190,1,0
2831,190,34.5119,F,2,0,N/A,STIPostImmigrating,0,113,307,0,1,MARITAL,MIGRATING,266,0,2
2831,266,36.4394,M,2,0,N/A,STIPostImmigrating,0,113,307,0,1,MARITAL,NORMAL,190,2,2
2832,112,34.2291,F,1,2,local,STIPreEmigrating,0,3,931,0,1,MARITAL,MIGRATING,6,1,1
2832,6,32.8156,M,1,2,local,STIPreEmigrating,0,3,931,0,1,MARITAL,MIGRATING,112,1,0
2832,172,21.4813,F,1,0,N/A,STIPostImmigrating,0,109,334,0,1,MARITAL,MIGRATING,113,0,1
2832,113,21.1681,M,1,0,N/A,STIPostImmigrating,0,109,334,0,1,MARITAL,NORMAL,172,1,1
